timestamp[s];distance[m];altitude[m];speed[m/s];power[watts];heart_rate[bpm];temperature[C];left_right_balance;accumulated_power[watts];cadence[rpm];left_pco[mm];right_pco[mm];left_power_phase[degrees];left_power_phase_peak[degrees];right_power_phase[degrees];right_power_phase_peak[degrees]
962862142;452.96;27.00;7.05;29;130;28;128;4577;58;-1;6;8.43750013183594E-7|1.8984375296630863E-5;7.312500114257814E-6|1.2375000193359378E-5;7.031250109863283E-7|1.9687500307617193E-5;7.312500114257814E-6|1.1953125186767581E-5
962862143;459.87;27.00;6.60;119;129;28;159;4696;63;-3;6;5.625000087890626E-7|2.7281250426269536E-5;6.750000105468752E-6|1.1812500184570315E-5;7.031250109863283E-7|1.9687500307617193E-5;7.312500114257814E-6|1.1953125186767581E-5
962862144;466.3;26.80;6.25;306;129;28;166;5002;65;1;5;5.625000087890626E-7|2.7281250426269536E-5;6.750000105468752E-6|1.1812500184570315E-5;7.031250109863283E-7|1.9687500307617193E-5;7.312500114257814E-6|1.1953125186767581E-5
962862145;472.82;26.80;6.50;333;129;28;177;5335;68;-1;5;5.625000087890626E-7|2.7281250426269536E-5;6.750000105468752E-6|1.1812500184570315E-5;1.4062500219726565E-7|2.039062531860352E-5;7.734375120849611E-6|1.265625019775391E-5
962862146;479.76;26.80;6.57;373;130;28;180;5708;72;-1;5;9.843750153808596E-7|2.0812500325195316E-5;6.750000105468752E-6|1.1390625177978518E-5;1.4062500219726565E-7|2.039062531860352E-5;7.734375120849611E-6|1.265625019775391E-5
962862147;486.53;26.80;6.65;401;131;28;178;6109;77;0;3;4.21875006591797E-7|2.137500033398438E-5;8.296875129638674E-6|1.2234375191162112E-5;4.21875006591797E-7|2.0812500325195316E-5;7.45312511645508E-6|1.167187518237305E-5
962862148;493.21;26.80;6.63;350;133;28;178;6459;77;-1;5;4.21875006591797E-7|2.137500033398438E-5;8.296875129638674E-6|1.2234375191162112E-5;4.21875006591797E-7|2.0812500325195316E-5;7.45312511645508E-6|1.167187518237305E-5
962862149;500.02;27.00;6.76;329;135;28;181;6788;78;-1;5;1.1250000175781252E-6|2.0953125327392582E-5;8.296875129638674E-6|1.2234375191162112E-5;1.4062500219726565E-7|2.109375032958985E-5;8.015625125244143E-6|1.2234375191162112E-5
962862150;506.65;27.20;6.69;272;137;28;179;7060;77;0;4;1.5468750241699222E-6|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5;1.265625019775391E-6|2.0953125327392582E-5;8.859375138427737E-6|1.1812500184570315E-5
962862151;513.32;27.60;6.64;321;139;28;175;7381;75;2;5;1.5468750241699222E-6|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5;1.4062500219726567E-6|2.109375032958985E-5;9.843750153808597E-6|1.2234375191162112E-5
962862152;520.17;28.00;6.66;333;141;28;182;7714;77;-1;3;9.843750153808596E-7|2.109375032958985E-5;7.5937501186523455E-6|1.1953125186767581E-5;1.4062500219726567E-6|2.109375032958985E-5;9.843750153808597E-6|1.2234375191162112E-5
962862153;526.89;28.40;6.71;323;142;28;180;8037;78;0;4;1.4062500219726567E-6|2.109375032958985E-5;8.859375138427737E-6|1.2234375191162112E-5;7.031250109863283E-7|2.0671875322998053E-5;8.015625125244143E-6|1.2093750188964847E-5
962862154;533.61;28.60;6.81;343;144;28;179;8380;78;-1;4;1.4062500219726567E-6|2.109375032958985E-5;8.859375138427737E-6|1.2234375191162112E-5;7.031250109863283E-7|2.0671875322998053E-5;8.015625125244143E-6|1.2093750188964847E-5
962862155;540.27;28.80;6.65;319;145;28;180;8699;79;-1;4;1.265625019775391E-6|2.109375032958985E-5;8.578125134033205E-6|1.2234375191162112E-5;7.031250109863283E-7|2.0671875322998053E-5;8.015625125244143E-6|1.2093750188964847E-5
962862156;547.37;29.20;7.13;319;146;28;181;9018;81;-1;4;1.265625019775391E-6|2.0953125327392582E-5;9.140625142822268E-6|1.2375000193359378E-5;7.031250109863283E-7|2.0671875322998053E-5;8.015625125244143E-6|1.2093750188964847E-5
962862157;554.71;29.40;7.41;43;147;28;178;9018;81;0;4;5.625000087890626E-7|2.1515625336181647E-5;8.859375138427737E-6|1.1953125186767581E-5;7.031250109863283E-7|2.0671875322998053E-5;8.015625125244143E-6|1.2093750188964847E-5
