timestamp[s];distance[m];altitude[m];speed[m/s];power[watts];heart_rate[bpm];temperature[C];cadence[rpm];accumulated_power[watts];left_pco[mm];right_pco[mm];right_power_phase[degrees];right_power_phase_peak[degrees];left_right_balance;left_power_phase[degrees];left_power_phase_peak[degrees]
935669153;568.1;60.00;10.53;112;157;30;94;11373;-6;3;1.9687500307617193E-6|1.9687500307617193E-5;8.156250127441408E-6|1.1812500184570315E-5;173;1.4062500219726565E-7|2.0812500325195316E-5;7.45312511645508E-6|1.265625019775391E-5
935669154;578.62;60.20;10.52;153;157;30;95;11526;-9;3;0.0|1.982812530981446E-5;7.875000123046877E-6|1.1953125186767581E-5;175;1.4062500219726565E-7|2.0812500325195316E-5;7.45312511645508E-6|1.265625019775391E-5
935669155;589.24;60.20;10.63;149;157;30;93;11675;-11;1;0.0|1.982812530981446E-5;7.875000123046877E-6|1.1953125186767581E-5;174;2.812500043945313E-7|2.1796875340576176E-5;7.312500114257814E-6|1.2375000193359378E-5
935669156;599.94;60.20;10.69;150;156;30;95;11825;-11;2;3.5156250549316415E-5|2.039062531860352E-5;8.156250127441408E-6|1.1812500184570315E-5;176;4.21875006591797E-7|2.1515625336181647E-5;7.5937501186523455E-6|1.265625019775391E-5
935669157;610.74;60.40;10.74;170;156;30;94;11995;-11;2;4.21875006591797E-7|1.9687500307617193E-5;6.890625107666017E-6|1.0968750171386721E-5;176;4.21875006591797E-7|2.1515625336181647E-5;7.5937501186523455E-6|1.265625019775391E-5
935669158;621.51;60.40;10.82;161;156;30;95;12156;-12;1;4.21875006591797E-7|1.9687500307617193E-5;6.890625107666017E-6|1.0968750171386721E-5;178;1.4062500219726565E-7|2.0671875322998053E-5;7.734375120849611E-6|1.2375000193359378E-5
935669159;632.43;60.40;10.92;186;156;30;100;12342;-12;1;3.501562554711915E-5|1.9687500307617193E-5;8.015625125244143E-6|1.2234375191162112E-5;171;3.5156250549316415E-5|2.137500033398438E-5;8.015625125244143E-6|1.293750020214844E-5
935669160;643.45;60.40;11.01;199;156;30;93;12541;-12;1;3.473437554272462E-5|1.9546875305419927E-5;6.609375103271486E-6|1.1390625177978518E-5;171;3.5156250549316415E-5|2.137500033398438E-5;8.015625125244143E-6|1.293750020214844E-5
935669161;654.6;60.40;11.10;168;156;30;95;12709;-13;1;3.529687555151368E-5|2.010937531420899E-5;8.296875129638674E-6|1.1531250180175784E-5;171;3.5156250549316415E-5|2.137500033398438E-5;8.015625125244143E-6|1.293750020214844E-5
935669162;665.68;60.40;10.96;91;156;30;95;12800;-11;2;3.529687555151368E-5|2.010937531420899E-5;8.296875129638674E-6|1.1531250180175784E-5;178;3.5156250549316415E-5|2.137500033398438E-5;8.015625125244143E-6|1.293750020214844E-5
935669163;676.68;60.40;10.88;89;156;30;78;12889;-12;2;3.529687555151368E-5|2.010937531420899E-5;8.296875129638674E-6|1.1531250180175784E-5;169;3.571875055810548E-5|2.3906250373535162E-5;7.875000123046877E-6|1.1953125186767581E-5
935669164;687.73;60.40;11.14;353;156;30;95;13242;-14;-2;3.529687555151368E-5|2.010937531420899E-5;8.296875129638674E-6|1.1531250180175784E-5;173;3.431250053613282E-5|2.235937534936524E-5;8.015625125244143E-6|1.1953125186767581E-5
935669165;699.06;60.40;11.41;388;156;30;101;13630;-14;-2;8.43750013183594E-7|2.0953125327392582E-5;8.156250127441408E-6|1.1250000175781253E-5;189;3.431250053613282E-5|2.235937534936524E-5;8.015625125244143E-6|1.1953125186767581E-5
935669166;710.63;60.40;11.52;245;155;30;105;13875;-15;-2;3.375000052734376E-5|2.010937531420899E-5;8.296875129638674E-6|1.1531250180175784E-5;185;3.487500054492188E-5|2.4750000386718755E-5;7.875000123046877E-6|1.1953125186767581E-5
935669167;722.14;60.40;11.41;81;156;30;86;13956;-15;-2;3.375000052734376E-5|2.010937531420899E-5;8.296875129638674E-6|1.1531250180175784E-5;185;3.487500054492188E-5|2.4750000386718755E-5;7.875000123046877E-6|1.1953125186767581E-5
935669168;733.68;60.40;11.51;250;156;30;97;14206;-14;-5;3.375000052734376E-5|2.010937531420899E-5;8.296875129638674E-6|1.1531250180175784E-5;185;3.487500054492188E-5|2.4750000386718755E-5;7.875000123046877E-6|1.1953125186767581E-5
935669169;745.39;60.40;11.67;300;157;30;98;14506;-14;-5;3.543750055371095E-5|1.912500029882813E-5;7.734375120849611E-6|1.1531250180175784E-5;177;3.487500054492188E-5|2.2218750347167974E-5;8.015625125244143E-6|1.2093750188964847E-5
935669170;757.22;60.40;11.86;292;157;30;98;14798;-15;-5;3.543750055371095E-5|1.912500029882813E-5;7.734375120849611E-6|1.1531250180175784E-5;180;3.346875052294923E-5|2.1796875340576176E-5;8.859375138427737E-6|1.265625019775391E-5
935669171;769.16;60.40;11.91;247;158;30;99;15045;-15;-5;3.431250053613282E-5|1.912500029882813E-5;8.015625125244143E-6|1.1531250180175784E-5;180;3.346875052294923E-5|2.1796875340576176E-5;8.859375138427737E-6|1.265625019775391E-5
935669172;781.17;60.40;11.90;161;158;30;99;15206;-13;-4;3.431250053613282E-5|1.912500029882813E-5;8.015625125244143E-6|1.1531250180175784E-5;182;0.0|2.1515625336181647E-5;8.156250127441408E-6|1.2093750188964847E-5
935669173;793.17;60.40;11.93;297;159;30;100;15503;-13;-4;3.487500054492188E-5|1.9546875305419927E-5;8.015625125244143E-6|1.2093750188964847E-5;182;0.0|2.1515625336181647E-5;8.156250127441408E-6|1.2093750188964847E-5
935669174;805.22;60.40;12.05;405;160;31;97;15908;-16;-2;3.375000052734376E-5|1.9968750312011722E-5;7.5937501186523455E-6|1.1531250180175784E-5;179;3.360937552514649E-5|2.3203125362548834E-5;8.578125134033205E-6|1.2375000193359378E-5
935669175;817.41;60.40;12.20;330;160;31;102;16238;-14;-5;3.375000052734376E-5|1.9968750312011722E-5;7.5937501186523455E-6|1.1531250180175784E-5;176;3.360937552514649E-5|2.3203125362548834E-5;8.578125134033205E-6|1.2375000193359378E-5
935669176;829.8;60.40;12.46;368;160;31;103;16606;-13;-5;3.346875052294923E-5|2.039062531860352E-5;8.296875129638674E-6|1.2093750188964847E-5;178;3.346875052294923E-5|2.362500036914063E-5;8.859375138427737E-6|1.1953125186767581E-5
935669177;842.41;60.40;12.55;378;161;31;105;16984;-13;-5;3.360937552514649E-5|2.0250000316406255E-5;7.875000123046877E-6|1.1109375173583987E-5;177;3.346875052294923E-5|2.362500036914063E-5;8.859375138427737E-6|1.1953125186767581E-5
935669178;855.16;60.40;12.86;434;161;31;106;17418;-13;-5;3.375000052734376E-5|2.0671875322998053E-5;7.875000123046877E-6|1.1390625177978518E-5;177;3.332812552075196E-5|2.4046875375732428E-5;8.859375138427737E-6|1.2234375191162112E-5
935669179;868.13;60.40;12.99;315;162;31;100;17733;-10;-2;3.375000052734376E-5|2.0671875322998053E-5;7.875000123046877E-6|1.1390625177978518E-5;179;3.332812552075196E-5|2.4046875375732428E-5;8.859375138427737E-6|1.2234375191162112E-5
935669180;881.24;60.40;13.09;158;163;31;100;17891;-10;-3;3.346875052294923E-5|1.9968750312011722E-5;8.156250127441408E-6|1.2515625195556644E-5;183;3.332812552075196E-5|2.4046875375732428E-5;8.859375138427737E-6|1.2234375191162112E-5
935669181;894.33;60.40;12.94;113;163;31;112;18004;-10;-3;3.346875052294923E-5|1.9968750312011722E-5;8.156250127441408E-6|1.2515625195556644E-5;183;9.843750153808596E-7|1.9546875305419927E-5;8.43750013183594E-6|1.293750020214844E-5
935669182;907.13;60.40;12.53;55;163;31;112;18004;-7;-3;3.346875052294923E-5|1.9968750312011722E-5;8.156250127441408E-6|1.2515625195556644E-5;170;9.843750153808596E-7|1.9546875305419927E-5;8.43750013183594E-6|1.293750020214844E-5
