timestamp[s];distance[m];altitude[m];speed[m/s];power[watts];heart_rate[bpm];temperature[C];cadence[rpm];accumulated_power[watts];left_pco[mm];right_pco[mm];right_power_phase[degrees];right_power_phase_peak[degrees];left_right_balance;left_power_phase[degrees];left_power_phase_peak[degrees]
935670167;11763.28;59.60;13.18;392;167;33;125;179210;-7;-7;3.1359375489990245E-5|2.109375032958985E-5;8.43750013183594E-6|1.167187518237305E-5;181;3.304687551635743E-5|2.2218750347167974E-5;9.281250145019534E-6|1.2515625195556644E-5
935670168;11776.82;59.40;13.43;313;168;33;110;179523;-6;-6;3.304687551635743E-5|2.0812500325195316E-5;7.734375120849611E-6|1.167187518237305E-5;179;3.346875052294923E-5|2.432812538012696E-5;8.859375138427737E-6|1.2234375191162112E-5
935670169;11790.55;59.40;13.66;344;168;33;113;179867;-6;-6;3.27656255119629E-5|2.0531250320800787E-5;7.312500114257814E-6|1.1953125186767581E-5;178;3.346875052294923E-5|2.432812538012696E-5;8.859375138427737E-6|1.2234375191162112E-5
935670170;11804.53;59.20;13.90;302;169;33;107;180169;-7;-5;3.27656255119629E-5|2.0531250320800787E-5;7.312500114257814E-6|1.1953125186767581E-5;178;3.346875052294923E-5|2.432812538012696E-5;8.859375138427737E-6|1.2234375191162112E-5
935670171;11818.67;59.00;14.03;243;169;33;107;180412;-7;-5;3.2203125503173836E-5|2.0812500325195316E-5;8.015625125244143E-6|1.1953125186767581E-5;179;3.375000052734376E-5|2.2500000351562507E-5;8.578125134033205E-6|1.2515625195556644E-5
935670172;11832.89;58.80;14.11;239;169;33;110;180651;-9;-5;3.431250053613282E-5|2.109375032958985E-5;7.45312511645508E-6|1.167187518237305E-5;179;3.487500054492188E-5|2.1234375331787115E-5;8.578125134033205E-6|1.3078125204345707E-5
935670173;11847.13;58.80;14.21;271;170;33;110;180922;-8;-5;3.473437554272462E-5|2.0250000316406255E-5;7.312500114257814E-6|1.1390625177978518E-5;179;3.4171875533935555E-5|2.1937500342773442E-5;9.000000140625001E-6|1.293750020214844E-5
935670174;11861.56;58.80;14.31;280;170;33;111;181202;-8;-5;3.248437550756837E-5|2.0812500325195316E-5;7.45312511645508E-6|1.1531250180175784E-5;181;3.459375054052735E-5|2.1656250338378913E-5;8.296875129638674E-6|1.2234375191162112E-5
935670175;11876.11;58.60;14.41;183;170;33;111;181385;-7;-6;3.248437550756837E-5|2.0812500325195316E-5;7.45312511645508E-6|1.1531250180175784E-5;182;3.459375054052735E-5|2.1656250338378913E-5;8.296875129638674E-6|1.2234375191162112E-5
935670176;11890.7;58.60;14.49;140;171;33;112;181525;-7;-1;3.304687551635743E-5|2.0531250320800787E-5;8.015625125244143E-6|1.2093750188964847E-5;177;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670177;11905.19;58.60;14.26;68;171;33;97;181593;-4;0;3.304687551635743E-5|2.0531250320800787E-5;8.015625125244143E-6|1.2093750188964847E-5;164;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670178;11919.53;58.60;14.15;1;171;33;72;181593;-4;0;3.304687551635743E-5|2.0531250320800787E-5;8.015625125244143E-6|1.2093750188964847E-5;164;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670179;11933.69;58.40;13.94;1;171;33;66;181593;-4;0;3.304687551635743E-5|2.0531250320800787E-5;8.015625125244143E-6|1.2093750188964847E-5;164;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670180;11947.61;58.40;13.74;1;170;33;63;181596;1;-1;3.304687551635743E-5|2.0531250320800787E-5;8.015625125244143E-6|1.2093750188964847E-5;174;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670181;11961.42;58.20;13.58;1;170;33;58;181597;-2;-2;3.304687551635743E-5|2.0531250320800787E-5;8.015625125244143E-6|1.2093750188964847E-5;174;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670182;11975.02;58.00;13.39;0;169;33;62;181597;-2;-2;3.304687551635743E-5|2.0531250320800787E-5;8.015625125244143E-6|1.2093750188964847E-5;228;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670183;11988.45;58.00;13.19;0;169;33;65;181597;-2;-2;3.304687551635743E-5|2.0531250320800787E-5;8.015625125244143E-6|1.2093750188964847E-5;228;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670184;12001.22;57.80;12.24;0;168;33;65;181597;-2;-2;3.304687551635743E-5|2.0531250320800787E-5;8.015625125244143E-6|1.2093750188964847E-5;228;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670185;12013.29;57.60;11.79;3;167;33;21;181603;-4;-1;3.304687551635743E-5|2.0531250320800787E-5;8.015625125244143E-6|1.2093750188964847E-5;228;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670186;12024.98;57.60;11.51;1;166;33;21;181603;-4;-1;3.304687551635743E-5|2.0531250320800787E-5;8.015625125244143E-6|1.2093750188964847E-5;228;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670187;12036.32;57.40;11.06;1;165;33;31;181605;3;5;3.304687551635743E-5|2.0531250320800787E-5;8.015625125244143E-6|1.2093750188964847E-5;228;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670188;12047.29;57.40;10.92;10;165;33;31;181605;0;4;3.304687551635743E-5|2.0531250320800787E-5;8.015625125244143E-6|1.2093750188964847E-5;228;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670189;12058.24;57.20;10.92;10;163;33;43;181625;0;4;3.304687551635743E-5|2.0531250320800787E-5;8.015625125244143E-6|1.2093750188964847E-5;128;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670190;12069.17;57.20;10.77;5;162;33;79;181630;-2;5;3.304687551635743E-5|2.0531250320800787E-5;8.015625125244143E-6|1.2093750188964847E-5;188;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670191;12079.62;57.20;10.10;14;161;33;67;181644;-1;4;3.304687551635743E-5|2.0531250320800787E-5;8.015625125244143E-6|1.2093750188964847E-5;188;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670192;12088.5;57.20;7.62;100;160;33;67;181644;-1;4;3.304687551635743E-5|2.0531250320800787E-5;8.015625125244143E-6|1.2093750188964847E-5;201;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670193;12096.0;57.20;7.44;100;160;33;67;181644;-1;4;3.304687551635743E-5|2.0531250320800787E-5;8.015625125244143E-6|1.2093750188964847E-5;228;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670194;12103.67;57.20;7.83;100;161;33;39;181944;-12;7;3.304687551635743E-5|2.0531250320800787E-5;8.015625125244143E-6|1.2093750188964847E-5;168;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670195;12111.83;57.00;8.37;343;161;33;90;182287;-2;-5;3.360937552514649E-5|2.8406250443847662E-5;6.46875010107422E-6|1.1812500184570315E-5;178;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670196;12120.37;57.00;8.78;290;161;33;93;182577;-6;-5;3.23437505053711E-5|2.559375039990235E-5;6.46875010107422E-6|1.167187518237305E-5;176;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670197;12129.37;57.00;9.18;256;160;33;96;182833;-6;-5;3.304687551635743E-5|2.109375032958985E-5;7.031250109863283E-6|1.1953125186767581E-5;177;3.290625051416016E-5|2.33437503647461E-5;8.43750013183594E-6|1.265625019775391E-5
935670198;12138.69;57.00;9.41;197;160;33;95;183030;-6;-3;3.304687551635743E-5|2.109375032958985E-5;7.031250109863283E-6|1.1953125186767581E-5;177;3.290625051416016E-5|2.33437503647461E-5;8.43750013183594E-6|1.265625019775391E-5
935670199;12148.29;57.00;9.65;276;160;33;93;183306;-6;-3;3.262500050976563E-5|2.1234375331787115E-5;8.015625125244143E-6|1.265625019775391E-5;175;3.473437554272462E-5|2.3484375366943367E-5;7.5937501186523455E-6|1.2375000193359378E-5
935670200;12158.15;57.00;9.98;200;159;33;92;183506;-11;0;3.262500050976563E-5|2.1234375331787115E-5;8.015625125244143E-6|1.265625019775391E-5;185;3.375000052734376E-5|2.1937500342773442E-5;8.156250127441408E-6|1.2375000193359378E-5
935670201;12168.18;57.00;10.07;110;159;33;95;183616;-8;-4;3.304687551635743E-5|2.0531250320800787E-5;7.45312511645508E-6|1.2234375191162112E-5;176;5.625000087890626E-7|2.0671875322998053E-5;7.875000123046877E-6|1.2796875199951175E-5
935670202;12178.32;57.00;10.18;121;159;32;95;183737;-7;-1;3.304687551635743E-5|2.0531250320800787E-5;7.45312511645508E-6|1.2234375191162112E-5;174;0.0|2.039062531860352E-5;8.156250127441408E-6|1.3218750206542971E-5
935670203;12188.57;57.00;10.18;118;158;32;96;183855;-7;1;4.21875006591797E-7|2.0250000316406255E-5;8.296875129638674E-6|1.2093750188964847E-5;175;0.0|2.039062531860352E-5;8.156250127441408E-6|1.3218750206542971E-5
935670204;12198.84;57.00;10.25;118;158;32;96;183973;-7;0;4.21875006591797E-7|2.0250000316406255E-5;8.296875129638674E-6|1.2093750188964847E-5;174;3.571875055810548E-5|2.0953125327392582E-5;8.156250127441408E-6|1.293750020214844E-5
935670205;12209.19;57.00;10.39;123;158;32;99;184096;-6;0;4.21875006591797E-7|2.0250000316406255E-5;8.296875129638674E-6|1.2093750188964847E-5;174;3.571875055810548E-5|2.0953125327392582E-5;8.156250127441408E-6|1.293750020214844E-5
935670206;12219.69;56.80;10.56;134;158;32;93;184230;-8;-2;4.21875006591797E-7|2.0250000316406255E-5;8.296875129638674E-6|1.2093750188964847E-5;177;0.0|2.0812500325195316E-5;8.43750013183594E-6|1.3078125204345707E-5
935670207;12230.29;56.80;10.66;136;158;32;94;184366;-8;-2;4.21875006591797E-7|2.1796875340576176E-5;7.312500114257814E-6|1.293750020214844E-5;174;0.0|2.137500033398438E-5;8.156250127441408E-6|1.2796875199951175E-5
935670208;12241.02;56.60;10.78;131;158;32;96;184497;-8;-3;0.0|2.0531250320800787E-5;8.296875129638674E-6|1.265625019775391E-5;174;1.4062500219726565E-7|2.109375032958985E-5;8.015625125244143E-6|1.2796875199951175E-5
935670209;12251.85;56.60;10.86;134;158;32;95;184631;-7;-1;0.0|2.0531250320800787E-5;8.296875129638674E-6|1.265625019775391E-5;175;1.4062500219726565E-7|2.109375032958985E-5;8.015625125244143E-6|1.2796875199951175E-5
935670210;12262.8;56.40;10.91;110;158;32;99;184741;-7;-1;4.21875006591797E-7|1.982812530981446E-5;7.875000123046877E-6|1.2375000193359378E-5;175;1.4062500219726565E-7|2.0953125327392582E-5;8.156250127441408E-6|1.3500000210937504E-5
935670211;12273.76;56.40;10.89;19;157;32;87;184760;-7;-1;1.265625019775391E-6|1.9265625301025395E-5;8.859375138427737E-6|1.293750020214844E-5;185;1.4062500219726565E-7|2.0953125327392582E-5;8.156250127441408E-6|1.3500000210937504E-5
935670212;12284.57;56.40;10.64;2;156;32;65;184762;-3;6;1.265625019775391E-6|1.9265625301025395E-5;8.859375138427737E-6|1.293750020214844E-5;228;1.4062500219726565E-7|2.0953125327392582E-5;8.156250127441408E-6|1.3500000210937504E-5
935670213;12295.17;56.40;10.48;9;156;32;70;184771;-5;4;1.265625019775391E-6|1.9265625301025395E-5;8.859375138427737E-6|1.293750020214844E-5;228;1.4062500219726565E-7|2.0953125327392582E-5;8.156250127441408E-6|1.3500000210937504E-5
935670214;12305.67;56.40;10.40;53;156;32;91;184824;-5;4;1.265625019775391E-6|1.9265625301025395E-5;8.859375138427737E-6|1.293750020214844E-5;228;2.109375032958985E-6|1.912500029882813E-5;8.43750013183594E-6|1.3078125204345707E-5
935670215;12316.08;56.40;10.39;75;155;32;93;184899;-3;1;1.265625019775391E-6|1.9265625301025395E-5;8.859375138427737E-6|1.293750020214844E-5;171;2.109375032958985E-6|1.912500029882813E-5;8.43750013183594E-6|1.3078125204345707E-5
935670216;12326.49;56.20;10.41;37;155;32;90;184936;-3;1;1.265625019775391E-6|1.9265625301025395E-5;8.859375138427737E-6|1.293750020214844E-5;228;4.21875006591797E-7|2.0531250320800787E-5;8.296875129638674E-6|1.293750020214844E-5
935670217;12336.86;56.20;10.22;18;154;32;88;184954;-2;4;1.265625019775391E-6|1.9265625301025395E-5;8.859375138427737E-6|1.293750020214844E-5;128;4.21875006591797E-7|2.0531250320800787E-5;8.296875129638674E-6|1.293750020214844E-5
935670218;12347.03;56.20;10.14;47;154;32;88;184954;-3;2;1.265625019775391E-6|1.9265625301025395E-5;8.859375138427737E-6|1.293750020214844E-5;128;4.21875006591797E-7|2.0531250320800787E-5;8.296875129638674E-6|1.293750020214844E-5
935670219;12357.1;56.00;10.05;47;153;32;90;185048;-2;2;1.265625019775391E-6|1.9265625301025395E-5;8.859375138427737E-6|1.293750020214844E-5;185;4.21875006591797E-7|2.0531250320800787E-5;8.296875129638674E-6|1.293750020214844E-5
935670220;12367.03;56.00;9.86;6;153;32;67;185048;-2;2;1.265625019775391E-6|1.9265625301025395E-5;8.859375138427737E-6|1.293750020214844E-5;185;4.21875006591797E-7|2.0531250320800787E-5;8.296875129638674E-6|1.293750020214844E-5
935670221;12376.88;56.00;9.70;6;153;32;91;185060;-2;2;1.265625019775391E-6|1.9265625301025395E-5;8.859375138427737E-6|1.293750020214844E-5;185;4.21875006591797E-7|2.0531250320800787E-5;8.296875129638674E-6|1.293750020214844E-5
935670222;12386.68;55.80;9.73;51;152;32;87;185111;-3;4;1.265625019775391E-6|1.9265625301025395E-5;8.859375138427737E-6|1.293750020214844E-5;167;4.21875006591797E-7|2.1515625336181647E-5;7.875000123046877E-6|1.265625019775391E-5
935670223;12396.5;55.80;9.78;110;151;32;87;185221;-3;-4;1.265625019775391E-6|1.9265625301025395E-5;8.859375138427737E-6|1.293750020214844E-5;170;4.21875006591797E-7|2.1515625336181647E-5;7.875000123046877E-6|1.265625019775391E-5
935670224;12406.37;55.80;9.91;166;150;32;96;185387;-3;-4;7.031250109863283E-7|2.0531250320800787E-5;8.156250127441408E-6|1.265625019775391E-5;177;0.0|2.235937534936524E-5;7.734375120849611E-6|1.2796875199951175E-5
935670225;12416.34;55.80;10.01;48;150;32;84;185435;-7;-2;3.487500054492188E-5|2.0531250320800787E-5;7.734375120849611E-6|1.1953125186767581E-5;185;4.21875006591797E-7|1.9265625301025395E-5;7.875000123046877E-6|1.3218750206542971E-5
935670226;12426.36;55.80;9.98;34;150;32;88;185469;-2;2;3.487500054492188E-5|2.0531250320800787E-5;7.734375120849611E-6|1.1953125186767581E-5;185;4.21875006591797E-7|1.9265625301025395E-5;7.875000123046877E-6|1.3218750206542971E-5
935670227;12436.4;55.80;10.00;61;149;32;89;185530;-2;2;3.487500054492188E-5|2.0531250320800787E-5;7.734375120849611E-6|1.1953125186767581E-5;174;1.1250000175781252E-6|2.0812500325195316E-5;8.296875129638674E-6|1.3078125204345707E-5
935670228;12446.45;55.80;10.06;61;148;32;89;185591;-2;2;3.487500054492188E-5|2.0531250320800787E-5;7.734375120849611E-6|1.1953125186767581E-5;173;1.1250000175781252E-6|2.0812500325195316E-5;8.296875129638674E-6|1.3078125204345707E-5
935670229;12456.5;55.80;10.02;67;148;32;89;185658;-3;2;3.487500054492188E-5|2.0531250320800787E-5;7.734375120849611E-6|1.1953125186767581E-5;173;1.1250000175781252E-6|2.0812500325195316E-5;8.296875129638674E-6|1.3078125204345707E-5
935670230;12466.62;55.80;10.10;75;148;32;90;185733;-2;1;3.487500054492188E-5|2.0531250320800787E-5;7.734375120849611E-6|1.1953125186767581E-5;176;8.43750013183594E-7|2.039062531860352E-5;8.015625125244143E-6|1.3218750206542971E-5
935670231;12476.7;55.80;10.10;48;148;32;89;185781;-2;0;7.031250109863283E-7|1.9265625301025395E-5;8.015625125244143E-6|1.265625019775391E-5;187;7.031250109863283E-7|2.109375032958985E-5;7.875000123046877E-6|1.3359375208740238E-5
935670232;12486.81;55.80;10.06;50;147;32;90;185831;-2;0;7.031250109863283E-7|1.9265625301025395E-5;8.015625125244143E-6|1.265625019775391E-5;174;7.031250109863283E-7|2.109375032958985E-5;7.875000123046877E-6|1.3359375208740238E-5
935670233;12496.86;55.80;10.10;39;148;32;89;185870;0;1;7.031250109863283E-7|1.9265625301025395E-5;8.015625125244143E-6|1.265625019775391E-5;176;7.031250109863283E-7|2.109375032958985E-5;7.875000123046877E-6|1.3359375208740238E-5
935670234;12506.92;55.80;9.95;17;147;32;89;185870;0;1;7.031250109863283E-7|1.9265625301025395E-5;8.015625125244143E-6|1.265625019775391E-5;187;7.031250109863283E-7|2.109375032958985E-5;7.875000123046877E-6|1.3359375208740238E-5
935670235;12516.38;55.60;9.08;17;147;32;35;185904;0;1;7.031250109863283E-7|1.9265625301025395E-5;8.015625125244143E-6|1.265625019775391E-5;187;7.031250109863283E-7|2.109375032958985E-5;7.875000123046877E-6|1.3359375208740238E-5
935670236;12524.95;55.60;8.10;16;147;32;53;185920;-4;5;7.031250109863283E-7|1.9265625301025395E-5;8.015625125244143E-6|1.265625019775391E-5;228;7.031250109863283E-7|2.109375032958985E-5;7.875000123046877E-6|1.3359375208740238E-5
935670237;12533.01;55.60;8.06;30;147;32;75;185950;-1;3;7.031250109863283E-7|1.9265625301025395E-5;8.015625125244143E-6|1.265625019775391E-5;228;7.031250109863283E-7|2.109375032958985E-5;7.875000123046877E-6|1.3359375208740238E-5
935670238;12541.07;55.60;8.15;200;147;32;84;186150;-7;4;7.031250109863283E-7|3.0375000474609382E-5;7.171875112060549E-6|1.2515625195556644E-5;161;3.529687555151368E-5|2.33437503647461E-5;7.5937501186523455E-6|1.1953125186767581E-5
935670239;12549.45;55.60;8.62;365;147;32;85;186515;-12;0;7.031250109863283E-7|3.0375000474609382E-5;7.171875112060549E-6|1.2515625195556644E-5;172;3.529687555151368E-5|2.33437503647461E-5;7.5937501186523455E-6|1.1953125186767581E-5
935670240;12558.3;55.60;9.07;343;147;32;91;186858;-13;-6;3.487500054492188E-5|2.489062538891602E-5;6.750000105468752E-6|1.167187518237305E-5;179;3.529687555151368E-5|2.33437503647461E-5;7.5937501186523455E-6|1.1953125186767581E-5
935670241;12567.5;55.60;9.40;238;147;32;93;187096;-10;-7;3.487500054492188E-5|2.489062538891602E-5;6.750000105468752E-6|1.167187518237305E-5;184;3.389062552954102E-5|2.5734375402099615E-5;8.015625125244143E-6|1.2234375191162112E-5
935670242;12576.93;55.60;9.52;102;148;32;94;187198;-10;-7;3.445312553833009E-5|2.1234375331787115E-5;7.734375120849611E-6|1.167187518237305E-5;176;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670243;12586.43;55.40;9.53;69;148;32;95;187267;-7;-1;3.445312553833009E-5|2.1234375331787115E-5;7.734375120849611E-6|1.167187518237305E-5;176;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670244;12595.94;55.40;9.52;57;148;32;104;187324;-7;-1;3.445312553833009E-5|2.1234375331787115E-5;7.734375120849611E-6|1.167187518237305E-5;228;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670245;12605.46;55.40;9.47;14;148;32;65;187338;-4;3;3.445312553833009E-5|2.1234375331787115E-5;7.734375120849611E-6|1.167187518237305E-5;228;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670246;12614.8;55.40;9.28;12;148;32;67;187338;-4;3;3.445312553833009E-5|2.1234375331787115E-5;7.734375120849611E-6|1.167187518237305E-5;228;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670247;12623.84;55.40;8.83;12;147;32;29;187338;-4;3;3.445312553833009E-5|2.1234375331787115E-5;7.734375120849611E-6|1.167187518237305E-5;228;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670248;12632.62;55.20;8.81;13;147;32;91;187375;-8;7;3.445312553833009E-5|2.1234375331787115E-5;7.734375120849611E-6|1.167187518237305E-5;228;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670249;12641.5;55.20;8.76;52;146;32;91;187375;-1;5;3.445312553833009E-5|2.1234375331787115E-5;7.734375120849611E-6|1.167187518237305E-5;179;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670250;12650.31;55.20;8.89;52;146;32;88;187479;-1;5;3.445312553833009E-5|2.1234375331787115E-5;7.734375120849611E-6|1.167187518237305E-5;181;0.0|2.0671875322998053E-5;8.015625125244143E-6|1.2234375191162112E-5
935670251;12659.18;55.20;8.94;65;145;32;91;187544;-1;3;3.445312553833009E-5|2.1234375331787115E-5;7.734375120849611E-6|1.167187518237305E-5;175;1.1250000175781252E-6|2.109375032958985E-5;7.45312511645508E-6|1.3500000210937504E-5
935670252;12668.15;55.20;8.97;16;145;32;67;187560;-1;3;3.445312553833009E-5|2.1234375331787115E-5;7.734375120849611E-6|1.167187518237305E-5;203;5.625000087890626E-7|2.039062531860352E-5;7.5937501186523455E-6|1.3218750206542971E-5
935670253;12677.12;55.20;8.94;13;144;32;67;187560;-1;3;3.445312553833009E-5|2.1234375331787115E-5;7.734375120849611E-6|1.167187518237305E-5;203;5.625000087890626E-7|2.039062531860352E-5;7.5937501186523455E-6|1.3218750206542971E-5
935670254;12686.06;55.20;8.94;13;143;32;74;187560;-1;3;3.445312553833009E-5|2.1234375331787115E-5;7.734375120849611E-6|1.167187518237305E-5;203;5.625000087890626E-7|2.039062531860352E-5;7.5937501186523455E-6|1.3218750206542971E-5
935670255;12695.04;55.20;8.95;14;143;32;91;187600;-2;-2;3.445312553833009E-5|2.1234375331787115E-5;7.734375120849611E-6|1.167187518237305E-5;157;5.625000087890626E-7|2.039062531860352E-5;7.5937501186523455E-6|1.3218750206542971E-5
935670256;12704.04;55.20;8.98;83;142;32;90;187683;-1;2;3.445312553833009E-5|2.1234375331787115E-5;7.734375120849611E-6|1.167187518237305E-5;179;4.21875006591797E-7|2.3203125362548834E-5;8.296875129638674E-6|1.3359375208740238E-5
935670257;12713.1;55.00;9.14;159;142;32;92;187842;-3;1;3.445312553833009E-5|2.1234375331787115E-5;7.734375120849611E-6|1.167187518237305E-5;175;4.21875006591797E-7|2.3203125362548834E-5;8.296875129638674E-6|1.3359375208740238E-5
935670258;12722.4;55.00;9.36;163;142;32;94;188005;-3;-1;2.812500043945313E-7|2.039062531860352E-5;7.734375120849611E-6|1.2515625195556644E-5;177;3.529687555151368E-5|2.3765625371337896E-5;7.875000123046877E-6|1.3078125204345707E-5
935670259;12731.8;55.00;9.43;63;142;32;93;188068;-3;-1;3.543750055371095E-5|1.9687500307617193E-5;7.171875112060549E-6|1.1812500184570315E-5;177;3.571875055810548E-5|2.0812500325195316E-5;7.734375120849611E-6|1.265625019775391E-5
935670260;12741.27;55.00;9.46;47;142;32;95;188115;-1;1;3.543750055371095E-5|1.9687500307617193E-5;7.171875112060549E-6|1.1812500184570315E-5;177;3.571875055810548E-5|2.0812500325195316E-5;7.734375120849611E-6|1.265625019775391E-5
935670261;12750.69;55.00;9.48;46;141;32;98;188161;-1;1;2.812500043945313E-7|2.010937531420899E-5;8.156250127441408E-6|1.265625019775391E-5;163;3.571875055810548E-5|2.0812500325195316E-5;7.734375120849611E-6|1.265625019775391E-5
935670262;12760.2;55.00;9.45;22;141;32;98;188161;-4;4;2.812500043945313E-7|2.010937531420899E-5;8.156250127441408E-6|1.265625019775391E-5;163;3.571875055810548E-5|2.0812500325195316E-5;7.734375120849611E-6|1.265625019775391E-5
935670263;12769.61;55.00;9.35;22;140;32;98;188161;-4;4;2.812500043945313E-7|2.010937531420899E-5;8.156250127441408E-6|1.265625019775391E-5;163;8.43750013183594E-7|1.8281250285644535E-5;7.734375120849611E-6|1.2234375191162112E-5
935670264;12778.95;55.00;9.22;24;140;32;20;188229;-4;4;4.21875006591797E-6|1.4343750224121097E-5;1.1812500184570315E-5|1.4062500219726567E-5;163;8.43750013183594E-7|1.8281250285644535E-5;7.734375120849611E-6|1.2234375191162112E-5
935670265;12788.15;55.00;9.27;80;140;32;105;188309;107;2;4.21875006591797E-6|1.4343750224121097E-5;1.1812500184570315E-5|1.4062500219726567E-5;205;8.43750013183594E-7|1.8281250285644535E-5;7.734375120849611E-6|1.2234375191162112E-5
935670266;12797.47;55.00;9.32;51;139;32;99;188360;-2;1;7.031250109863283E-7|2.0531250320800787E-5;8.578125134033205E-6|1.2375000193359378E-5;205;2.812500043945313E-7|2.0250000316406255E-5;7.875000123046877E-6|1.293750020214844E-5
935670267;12806.77;54.80;9.24;12;139;32;68;188372;-3;1;7.031250109863283E-7|2.0531250320800787E-5;8.578125134033205E-6|1.2375000193359378E-5;228;2.812500043945313E-7|2.0250000316406255E-5;7.875000123046877E-6|1.293750020214844E-5
935670268;12815.81;54.80;8.82;45;138;32;67;188372;-3;1;7.031250109863283E-7|2.0531250320800787E-5;8.578125134033205E-6|1.2375000193359378E-5;228;2.812500043945313E-7|2.0250000316406255E-5;7.875000123046877E-6|1.293750020214844E-5
935670269;12824.52;54.80;8.60;45;138;32;46;188372;-3;1;7.031250109863283E-7|2.0531250320800787E-5;8.578125134033205E-6|1.2375000193359378E-5;228;2.812500043945313E-7|2.0250000316406255E-5;7.875000123046877E-6|1.293750020214844E-5
935670270;12833.18;54.80;8.73;45;137;32;90;188507;-3;-1;7.031250109863283E-7|2.0531250320800787E-5;8.578125134033205E-6|1.2375000193359378E-5;166;1.8281250285644535E-6|2.2078125344970708E-5;1.2093750188964847E-5|1.293750020214844E-5
935670271;12841.99;54.80;9.00;174;137;32;89;188681;-5;-4;7.031250109863283E-7|2.0531250320800787E-5;8.578125134033205E-6|1.2375000193359378E-5;166;1.8281250285644535E-6|2.2078125344970708E-5;1.2093750188964847E-5|1.293750020214844E-5
935670272;12851.12;54.80;9.20;153;136;32;92;188834;-5;-4;2.812500043945313E-7|2.0250000316406255E-5;7.171875112060549E-6|1.2093750188964847E-5;175;3.557812555590821E-5|2.362500036914063E-5;7.5937501186523455E-6|1.2375000193359378E-5
935670273;12860.38;54.80;9.18;69;136;32;99;188903;-6;-3;3.501562554711915E-5|2.0531250320800787E-5;7.5937501186523455E-6|1.2515625195556644E-5;182;7.031250109863283E-7|2.109375032958985E-5;8.296875129638674E-6|1.293750020214844E-5
935670274;12869.54;54.80;9.09;7;135;32;65;188910;-4;4;3.501562554711915E-5|2.0531250320800787E-5;7.5937501186523455E-6|1.2515625195556644E-5;171;7.031250109863283E-7|2.109375032958985E-5;8.296875129638674E-6|1.293750020214844E-5
935670275;12878.59;54.80;9.13;26;135;32;95;188936;-2;3;3.501562554711915E-5|2.0531250320800787E-5;7.5937501186523455E-6|1.2515625195556644E-5;128;7.031250109863283E-7|2.109375032958985E-5;8.296875129638674E-6|1.293750020214844E-5
935670276;12887.81;54.80;9.08;48;135;32;84;188936;-2;3;3.501562554711915E-5|2.0531250320800787E-5;7.5937501186523455E-6|1.2515625195556644E-5;169;7.031250109863283E-7|2.109375032958985E-5;8.296875129638674E-6|1.293750020214844E-5
935670277;12896.99;54.80;9.25;48;135;32;92;189032;-2;2;1.687500026367188E-6|2.039062531860352E-5;7.875000123046877E-6|1.2515625195556644E-5;173;8.43750013183594E-7|2.1656250338378913E-5;7.875000123046877E-6|1.3218750206542971E-5
